STATE,DISTRICT,Storage name,Address,Manager Name,capacity
Karnataka,Koppal,606390,"Plot No. 455, Basapattana Village, Gangavathi Taluk",,131
Karnataka,Koppal,606871,"Sy No. 56 B, Hulkihal Camp, Gangavathi Taluk",,966
Karnataka,Koppal,608442,"Tavaragere Village, Kushtagi Taluk",,1029
Karnataka,Koppal,609292,"Sy No. 57/B/ Jangamara Kalgudi Village, Gangavathi Taluk",,115
Karnataka,Koppal,620266,"Sy. No.34/4P1, Gangavathi Village & Taluk",,1411
Karnataka,Koppal,803112,"Sy No. 36/CPI, Juratagi Village, Gangavathi Taluk",,200
Karnataka,Koppal,803181,"PLot No. 30/B/1, Sriramnagar Village, Gangavathi Taluk",,343
Karnataka,Koppal,Althaf Fruit Merchant,KINNAL RD,Maiboob,
Karnataka,Koppal,Amaramma W/O Channabasappa & Pampannagowda S/O Channabasappa,"GP No. 43, Siddapur Village, Gangavathi Taluk",,240
Karnataka,Koppal,Amarappa Arali S/O Gundappa Arali,"Sy.No.4-1-76, Karatagi Village, Gangavathi Taluk",,94
Karnataka,Koppal,"Amare Gouda S/O Basana Gouda, Siddapur Village, Gangavathi Taluk","Sy. No.31, Siddapur Village, Gangavathi Taluk",,322
Karnataka,Koppal,Amaregouda,"Sy No 60/2, Jamapur Village, Gangavathi, Koppal",,130
Karnataka,Koppal,Amaregouda S/O Hampanagouda,"Sy No. 229/B, Yaradona Village, Gangavathi Taluk",,242
Karnataka,Koppal,AmaregoudaS/O Murthepa Gouda,"Sy No.193,HosakereVillage, Gangavathi Taluk",,488
Karnataka,Koppal,Amareshappa S/O Ayyanagouda,"Sy. No.05/B,Mylapur Village,Gangavathi Taluk",,192
Karnataka,Koppal,Amareshappa S/O Iyyanagouda,"Plot No. 973 & 974 At Virupanna Tata Colony, Herur Village",,323
Karnataka,Koppal,Amareshappa Singanal,"Plot No 197, Singanal, Gangavathi",,235
Karnataka,Koppal,Amorayyaswamy S/O Basayyaswamy,"Plot No. 15/34/15/1-1-34, Old Juratagi",,268
Karnataka,Koppal,Anandkumar Kori S/O Amaragundappa,"Sy No. 6/1, Budugumpa, Gangavathi",,351
Karnataka,Koppal,Andanappa & Pampanna S/O Malleshappa,"Sy No. 15/1b, Maski Village, Lingasugur Taluk",,1254
Karnataka,Koppal,Angadi Shivappa S/O Murdappa,"Sy.No.1-1-3, Yaradona Village, Gangavathi Taluk",,297
Karnataka,Koppal,Anjaneya Fruit Company,VIDYANAGAR.KUSTAGI,Yallappa,5082
Karnataka,Koppal,Annamareddy Subbarao S/O Gopanna,"Sy No 108, Chellur Camp, Karatagi",,314
Karnataka,Koppal,Ayyanna Kesaratti S/O Veeranna Kesaratti,"Sy No. 68/A/1, Mailapur Village, Gangavathi Taluk",,228
Karnataka,Koppal,Ayyappa K S/O Buddappa,"Plot No.5, Panchayat No.8-6-59/5, Karatagi Village, Gangavathi Taluk",,177
Karnataka,Koppal,Ayyappa S/O Basappa,"Sy.No. 6/ BP29, Achar Narsapur",,239
Karnataka,Koppal,"B Hanumanthappa & B Hanumesh, S/O B Lingappa","S.No.92/B, Singanal Village, Gangavathi Taluk",,373
Karnataka,Koppal,B Mangaladevi W/O Venkateshwara Rao,"Block No. 4, Panchayath No. 77, Sriramnagar Village, Gangavathi Taluk",,372
Karnataka,Koppal,B Mohan Rao & Others,"Sy No. 111/H, Chellur Camp, Gangavathi Taluk",,742
Karnataka,Koppal,B Phakeerappa S/O Sanna Erappa,"Sy No. 5, Danapur Village, Gangavathi Taluk",,332
Karnataka,Koppal,B Satyanarayana S/O B Nageshwara Rao,"Sy No. 41, Durga Camp, Gangavati Taluk",,128
Karnataka,Koppal,B Srinivasa & B Venkateswara Rao,"Sy No. 3-9-186, Vidyanagar Village, Gangavathi Taluk",,77
Karnataka,Koppal,B Suryareddy S/O Satyareddy,"Sy No. 14/A & 14/EP1, Marlanahalli Village, Gangavathi Taluk",,458
Karnataka,Koppal,B Umesh S/O Gavisiddappa,"Sy. No.438/A,Plot No.4,Karatagivillage, Gangavathi Tq.",,
Karnataka,Koppal,B. Vinod S/O Ramakrishna,"Hosakera Camp, Gangavathi",,471
Karnataka,Koppal,B.Bhupal Reddy S/O Venkat Reddy,Karatagi Gangavathi Tq,,417
Karnataka,Koppal,Badari Narayana M S/O M Raja,"Sy.No.211/A/1/16, Basavanna Camp Gangavathi Taluk",,397
Karnataka,Koppal,Balasu Gangaraju S/O Sathyanarayana,"Sy.No.95/A, Hire Dunkanal",,457
Karnataka,Koppal,Bandi Veerabhadra Rao @ Bandi Veeranna,"Sy No 31/D, Basavanna Camp Gangavathi Taluk",,438
Karnataka,Koppal,Basalingappa BhuteS/O Karibasappa,"Sy.No.97/A, Yelburga Village, Koppal",,790
Karnataka,Koppal,Basamma,"Bevinal,Gangavati Tq",,105
Karnataka,Koppal,Basamma W/O Shankaragouda,"Plot No.89 And 90, Bevinal Village, Gangavathi Taluk",,695
Karnataka,Koppal,Basappa Kurubar S/O Bheemappa,"Sy.No. 25/ P10, Budagumpa Village Gangavathi Taluk",,153
Karnataka,Koppal,Basappa S/O Ayyappa And Sharanappa S/OBasappa,"Sy.No.6/B/P29, Achar Narasapur Village, Gangavathi Taluk",,171
Karnataka,Koppal,Basavanagouda S/O Somashekargouda,"Sy No 89, Hoskera Village, Gangavathi Taluk",,238
Karnataka,Koppal,Basavanna Palsuri S/O Satyanarayana,"Sy. No. 212/4, Bevinahal Village, Gangavathi Tq",,553
Karnataka,Koppal,Basavaraj & Hanumanthappa,"Panchayat No 184, Somanal Village, Gangavathi",,283
Karnataka,Koppal,Basavaraj & Jadiyappa S/O Siddanagowda Salagundi,"Plot No. 6 & 7, Panchayat No. 8-6-87/5&6, RG Road, Karatagi Village, Gangavathi Taluk",,429
Karnataka,Koppal,Basavaraj Melmaligai S/O Ayyangouda,"Sy.No.20/P/1, Somanal Village, Karatagi, Gangavathi Taluk",,900
Karnataka,Koppal,Basavaraj S/O Sharanappa,"P.No.8-4-49, Plot No.2, Naveli Road, Karatagi Village, Gangavathi Taluk, Koppal",,202
Karnataka,Koppal,Basavaraj S/OS/O Sharanappa Upanal,Sy No.11 Karatagi Village Gangavathi Taluk,,233
Karnataka,Koppal,Basavaraj Swamy,Basapattana Gangavathi,,529
Karnataka,Koppal,Bhartsh Kendal S/O Shanmukhappa Kendal,Site No. 5 & 6 Budugumpa Taluk,,257
Karnataka,Koppal,Bheemagouda S/O B Kolbal,"Sy No. 39/2/A, Kolabal Village, Sindanur Taluk",,586
Karnataka,Koppal,Boddi Rajitha W/O Boddu Sunil,"Sy No 70/2, Plot No 33, Renuka Colony,Sriramnagar Village, Gangavathi Taluk",,767
Karnataka,Koppal,Bokka Rajamma W/O Ramakrishna,"Plot No. 104, Mustoor (Anjuri Camp) Village, Gangavathi Taluk",,485
Karnataka,Koppal,Bolla Sataynarayana S/O Veeraraju,"Sy No. 181/A1, Yaradona Village, Gangavthi",,233
Karnataka,Koppal,Bolla Srinivasa S/O Bolla Veeraraju,Plot No 14 181/A/1 Kindi Camp Gangavathi Taluk,,292
Karnataka,Koppal,Boppan Mallikarjuna Rao S/O Nagabhushanam,Hoskera Camp Gangavathi Tq,,117
Karnataka,Koppal,Brindavan Tulasirathnam & Ch Venkatrao,"Sy No. 211/A/1/2A, Bevinal Village, Basavanna Camp, Gangavathi Taluk",,112
Karnataka,Koppal,C B R Prasad,"Shivapur Village, Koppal",,387
Karnataka,Koppal,C Durga Rao,"Baragur Camp,Gangavathi",,505
Karnataka,Koppal,C H Krishnamurthy,"Plot No 151, Pannapur Camp, Basavanna Camp",,179
Karnataka,Koppal,C H Sujatha D/O V Rudrayya,"Sy No. 201, Yaradona Village, Gangavathi Taluk",,272
Karnataka,Koppal,C H Uma Shankara Rao,"Sy No 581/1, Basapatna Village, Gangavathi",,158
Karnataka,Koppal,C H Venkatrao,"Sy. No. 75/C, Hulkihal Village",,684
Karnataka,Koppal,C H Yugandhar Amaresh S/O Seshagiri Rao,"Panchayat No 141, Hoskera Camp, Gangavathi",,238
Karnataka,Koppal,C.RadhaKrishna S/O Subba Rao,"Hulikal Camp, Gangavathi",,362
Karnataka,Koppal,CHITTURI KRISHNA RAO S/O LACHAYYA,"SY. NO.129/39AP6,Sriramanagar Village Gangavathi Taluk",,539
Karnataka,Koppal,Ch Rudragowda,"Plot No 164, Danapur Village, Gangavathi, Koppal",,62
Karnataka,Koppal,Ch.Satyanarayana,"Hoskud Camp, Gangavati Tq.,",,456
Karnataka,Koppal,Ch.Venkatramakrishna,"Sriramnagar Camp, Gangavati Tq.,",,884
Karnataka,Koppal,Challangi Subramaniam S/O Suryanarayana Murthy,"Sy No 97/D, Thondihal Village, Gangavathi, Koppal",,139
Karnataka,Koppal,Chandrashekar S/O Nagappa Palled,"Plot No. 148& 149, Navali Road, Karatagi Village",,169
Karnataka,Koppal,Chandrashekargouda S/O Veerabhadra Gouda Gacchinamani,"1/2/85, 1/2/55,Dasanal Village Gangavathi Taluk",,340
Karnataka,Koppal,Channabasappa,"Pannapur , Gangavathi",,420
Karnataka,Koppal,Channabasappa S/O Devappa Musali,"Sy.No.1/L, Hulkihal Village",,298
Karnataka,Koppal,Channappa S/O Kariyappa & Shivamma W/O Kariyappa,"Sy No. 100/1, Karatagi Pannapur Road, Pannapur Village, Gangavthi Taluk",,95
Karnataka,Koppal,Channappa S/O Muniappa.Gangammaw/Oand Virupanna S/O Channappa,Sy No 773 Henur Village Gangavathi,,232
Karnataka,Koppal,Channaverraswamy S/O Shri Sangayyaswamy,"Plot No. 274 And 275 Sy. No. 44/5 46/A, 23 Marakumbi Village Marakumbi GP, Gangavathi Taluk",,213
Karnataka,Koppal,Chikkaveerangowda Malipatil S/O Virupanagowda,Sy. No. 24(P No. 24/3 - 2 - 175) Budagumpa Village Gangavathi Taluk,,117
Karnataka,Koppal,Chilakari Venkatnarayana,"Gundur Camp, Gangavathi",,241
Karnataka,Koppal,Chilakuri Ramachandra,"Marali Basavanna Camp, Gangavathi, Koappal",,116
Karnataka,Koppal,Chilkuri Parvathi W/O Narasimha Rao,"Plot No.42/B, Plot No.4, Krishnapur Village, Gangavathi Taluk",,423
Karnataka,Koppal,Chilukuri Ramarao,"Sy No. 160/4/A, Hosakera Village, Gangavthi Taluk",,690
Karnataka,Koppal,Chilukuri Venkatrao S/O Pattabhiramayya,"Sy No. 145/B1, Gundur Village, Gangavathi Taluk",,281
Karnataka,Koppal,Chinta Srinivas S/O Madhav Rao,"Sy No.57/Dha, Marianahalli Village, Gangavathi Taluk",,282
Karnataka,Koppal,Chintapalli Appa Rao,"Basavanna Camp,Gangavati Tq",,224
Karnataka,Koppal,Chitoori Gopalakrishna,"Block NO 48, Sy No 28/1, Oddarahatti, Gangavathi Taluq, Koppal",,291
Karnataka,Koppal,Chitturi Srinivas S/O Veeranna,"Sy No 112/B/3, Thondihal Village, Gangavathi Taluk",,201
Karnataka,Koppal,D Sathyanaryana S/O Late D Kamaraju,"Sy N O. 114/98/1, Bevinol Village, Gangavathi Taluk",,92
Karnataka,Koppal,D Seshagiri Rao S/O Venkateshwara Rao,"Sy. No.55/C,Plot No.50Jeeral KalgudiCamp,ChikkadankalPanchayat,Gangavathi Taluk",,473
Karnataka,Koppal,"D.Bhaskar, SatyanarayanaReddy & D.Subba Reddy","Sri Prasanth RG, Gangavathi",,288
Karnataka,Koppal,D.Govindaraju],"Gundur Camp, Gangavati Tq.,",,480
Karnataka,Koppal,Dammu Srinivas S/O Suryanarayana,"Panchayat Nos 78 & 52, Gundur Village, Gangavathi Taluk",,333
Karnataka,Koppal,Dammu Venkataramana S/O Sreeramulu,"Sy No. 96/C, Thondihal Village, Gangavathi Taluk",,433
Karnataka,Koppal,Devaneni Nageshwaran,"Plot No 42, Hebbal Dangeri Camp Village, Gangavathi, Koppal",,283
Karnataka,Koppal,Devendragounda S/O Siddappa,Sy.No. 80/D Herur Village Gangavathi Taluk,,296
Karnataka,Koppal,Doddannagouda Halemani S/O Nagreddappa And Smt Shankaramma W/O Doddana Gouda,Sy. No. 191/3 Siddapur Village Gangavathi Taluk,,246
Karnataka,Koppal,Doddayya .J,"Mallapur, Gangavathi, Koppal",,144
Karnataka,Koppal,Donepudi Subbarao,"Panchayat No 6, SriRamnagar Village, Gangavathi, Koppal",,220
Karnataka,Koppal,Donnashetty Pampathi,"Hanwal, Gangavathi",,290
Karnataka,Koppal,Dundigouda Basanagouda Patil,"Plot No 10 &11, 185 Sy No -4/ A1, Block No IV, Siddapur Village, Gangavathi, Koppal",,162
Karnataka,Koppal,Durga Srinivas,"Oddarahatti, Gangavathi, Koppal",,835
Karnataka,Koppal,E.Tirupayya,"Kotaih Camp, Gangavati Tq.,",,872
Karnataka,Koppal,E.Tirupayya & E.Prasad,"Kotaih Camp, Gangavati Tq.,",,538
Karnataka,Koppal,Eshappa Singapur S/O Basappa,"Plot No. 290, Thimmapur, Gangavathi Taluk",,113
Karnataka,Koppal,Friends Fruit Cold Storage,BY PASS RD.GANGAVATHI,Raja Bakshi,
Karnataka,Koppal,G Balaratnakumari W/O G Krishna Rao,"Sy. No.46/B,Bevinal Nagankal Village,Gangavathi Taluk",,1997
Karnataka,Koppal,G Krishnaveni,"H No 545, Herur, Gangavathi Taluk, Koppal",,125
Karnataka,Koppal,G Mudukayya Swamy S/O SankrayyaSwamy,"Plot No. 13 & 14, Panchayat No. 8-6-59/13&14, Karatagi - Kanakagir Main Road, Karatagi Village",,370
Karnataka,Koppal,G Narayadu S/O Venkat Rao,"Sy.No.55/FP2, Hulkihal Camp, Gangavathi Taluk",,408
Karnataka,Koppal,G Sridhar,"Kesaratti Village,Gangavathi",,445
Karnataka,Koppal,G Srinivas,"Plot No 184, JangamaraKalgudi, Gangavathi",,121
Karnataka,Koppal,G Srinivas S/O G Sathyanarayana,"Sy. No.140/1/B/1, Hoskere Camp, Gangavathi Taluk",,409
Karnataka,Koppal,G Sunitha W/O Sathyanarayana & G Sathyanarayana S/O Ramachandra Rao,"Sy No. 80/2P2, Karatagi, Gangavathi Taluk",,368
Karnataka,Koppal,G V KrishnaRao,"Sy No 55/1/A/4, Joladarashi Camp, Manvi, Raichur",,100
Karnataka,Koppal,G Venkateshwar Rao S/O G Surya Rao,"Sy.No.225/1, Karatagi Village, Gangavathi Taluk",,981
Karnataka,Koppal,G Vishwanatha Raju & G Venkata Subbaraju,"Sy No 121/B, Vidyanagar Village, Gangavathi, Koppal",,208
Karnataka,Koppal,G Yuvaraj,"Sy No 161/1/A, Hoskere Village, Gangavathi",,393
Karnataka,Koppal,G.Bhaskar Rao & G.Srinivas,"Tondihal Camp, Gangavathi",,106
Karnataka,Koppal,Gangadharappa,"Gundur , Gangavathi",,248
Karnataka,Koppal,Gavi Siddappa,"Plot No 38, Hitnal, Koppal",,229
Karnataka,Koppal,Godavarti VenkatRao,"Oddarhatti Camp, Gangavathi",,191
Karnataka,Koppal,Godavasti Satyanarayana S/O Satyanarayana,Kotaaiah Camp Gangavati,,123
Karnataka,Koppal,Gouramma W/O Gundappa Kuligi,"Plot No.S.16 & 17, Panchayat No.S 8-6-52/16 & 8-6-52/17 Reptly, Karatagi Village, Gangavati Tq",,256
Karnataka,Koppal,Gudaba Suribabu,"Somanal Camp, Gangavathi",,167
Karnataka,Koppal,Gulareddy Basareddy,Talakal,,434
Karnataka,Koppal,Gundappa Kori S/O Amara Gundappa,0,,347
Karnataka,Koppal,Gururaj S/O Govindaraj Pampana,"Sy No. 46/3, Karatagi, Gangavathi Taluk",,1068
Karnataka,Koppal,H Bheemanna GowdaS/O Mallikarjuna,"Property No. 41, Ward No 5, Siddapur Village, Gangavathi Taluk",,392
Karnataka,Koppal,H Rajasekhar Patil S/O Shankar Gouda,"GP No. 671/91,92,93,103& 104, Gorebal Village, Sindhanur Taluk",,696
Karnataka,Koppal,H ShivaKumar,"Gundur, Gangavathi, Koppal",,176
Karnataka,Koppal,H. Parashuram S/O H. Balappa,"Sy.No.564/ B, Chikkajanthakal",,337
Karnataka,Koppal,Hanumangouda S/O Phakeeragowda,"'PLot No. 120(Old), New No 150, Jangamara Kalgudi Village, Gangavathi Taluk",,218
Karnataka,Koppal,Hanumantha Reddy,"Plot No 46 &47, Gundur, Gangavathi",,157
Karnataka,Koppal,Hanumantha Reddy,"Sy No 64, Kottanakal Village, Gangavathi, Koppal",,329
Karnataka,Koppal,Hanumanthappa Arapur,"Karatagi, Naganakal,Gangavathi, Koppal",,178
Karnataka,Koppal,Hanumanthappa S/O Ayyanagouda,"Sy. No. 75/B And 75/C,Mylapura,Karatagi, Gangavathi Taluk",,1865
Karnataka,Koppal,Hanumavva W/O Late Ningappa Kuyyappanavar,"Sy No. 371 & 373, Hitnal Village, Koppal",,301
Karnataka,Koppal,Hanumesh Kushtagei S/O Ramachandra Rao,"166/2, P No.7, Yelamageri Village, Koppal",,100
Karnataka,Koppal,Hemareddappa S/O Ayyappa,"Sy No. 97/D, Pannapur Village, Gangavathi Taluk",,352
Karnataka,Koppal,Hirelingappa S/O Buddappa Hosamani & Shri Huchappa S/O Basavaraj Hosamani,"G P No. 182 & 183, Chellur Village, Gangavathi Taluk",,114
Karnataka,Koppal,Honnappa Kavali S/O Mallappa,"K.Baspur, Gangavathi",,104
Karnataka,Koppal,Hucchanagouda S/O Mangalappa,"Plot No.104/1570 & 105/1571, Mangaluru Village, Yelbarga Taluk",,131
Karnataka,Koppal,J Nagaraj S/O Ayyappa,"Sy No. 12, By The Side Of GAM Road, Krishnapur Village, Gangavathi Taluk",,316
Karnataka,Koppal,"J Nagendra, S/O J Basappa","Sy. No 29, Vipra Village, Gangavathi Taluk",,377
Karnataka,Koppal,J Satyanarayana,"Kalgudi, Gangavathi",,139
Karnataka,Koppal,J.Nagaraja,"Krishnapur, Gangavathi",,369
Karnataka,Koppal,J.Venkateshwarulu,Basavanadurga VillageGangavati Tq,,283
Karnataka,Koppal,Jasti Satyanarayana,"Plot No 126/A, Ward No 2, Ayodya Camp, Gangavathi, Koppal",,160
Karnataka,Koppal,Jasti VenkateshwarRao S/O Ramarao,"Sy No.41/13 Marlanhalli Village,Gangavathi Taluk",,
Karnataka,Koppal,Jitendranath S/O Satyanarayan Raju,"P No.20, Narayanapete Village, Koppal Taluk",,294
Karnataka,Koppal,K Basavaraj S/O Giriyappa,"Sy. No.101/A2,Hosakera Village, KOppal",,430
Karnataka,Koppal,K Dhanalaxmi W/O Venkateswar Rao,"Sy.No.29/A3P1, Juratagi Village, Karatagi Hobali, Gangavathi Taluk",,443
Karnataka,Koppal,K Gopala Reddy & K Srinivasa Reddy,"G P No 124, Basavanadurga Village, Gangavathi, Koppal",,205
Karnataka,Koppal,K Lakshman Reddy,"Sriramnagar, Gangavathi",,233
Karnataka,Koppal,"K Murali S/OK Ramamohan Rao, K Varalakshmi W/O K Murali","Sy No 550/C, Marlanhalli Village, Gangavathi Taluk",,172
Karnataka,Koppal,K NagaveniW/O K Ramu,"Plot No.325, Sy.No.29/A3P1, Juratagi Camp, Gangavathi Taluk",,169
Karnataka,Koppal,K Papareddy S/O Venkarappareddy,"Sy No. 34/K, Devargudi Village, Sindhanur Taluk",,347
Karnataka,Koppal,K Pushpavathi W/O Kanakaraju,"Plot No 447, Jangamar Kalgui Village, Gangavathi Taluk",,253
Karnataka,Koppal,K R Venkatesh S/O K Ramarao,"Sy No 36, L G Road, Gangavathi",,4087
Karnataka,Koppal,K Ramesh S/O K P Upadhyaya,"Panchayat No. 8-2-69, Budagumpa Village, Gangavthi Taluk",,165
Karnataka,Koppal,K Satyanaryana S/O Tatabbai,"Sy No. 140, Gundur Camp, Gangavathi Taluk",,151
Karnataka,Koppal,K Sesha Rao S/O Suryanarayana,"Sy.11/B3,Jangamara Kalgudi Village,Gangavathi Taluk",,775
Karnataka,Koppal,K Shrinivasa S/O Sathyanarayana,"Sy.No.50H, Tondihal Village",,98
Karnataka,Koppal,K Subba Rao & K Rajeshwari,"Plot No 585, Shivapur Village, Koppal",,226
Karnataka,Koppal,K Surendra Babu S/O K Nageshwara Rao,"Sy.No.39, Maralanahalli Village, Gangavathi Taluk",,1192
Karnataka,Koppal,K V Ramarao S/O Surya Rao,"Sy.No.171/A, Amjuri Camp, Gangavathi Taluk",,444
Karnataka,Koppal,K Varalakshmi,"Basapatna Village, Gangavathi",,145
Karnataka,Koppal,K Venkataramanan,"B. No 3, G P No 74/5, SriRamnagar Village, Gangavthi, Koppal",,441
Karnataka,Koppal,K. Bhaskar Rao S/O Venkatanarayana,"RS No 136/11 Hoskera Village, Gangavathi Tq.",,393
Karnataka,Koppal,K.Nageshwara Rao S/O Satyanarayana Murthy,"Sy. No. 58, Hulkihal Village, Gangavathi Tq",,356
Karnataka,Koppal,K.Venkatachar & Sethubai,Sriram Nagar Gangavathi Tq,,390
Karnataka,Koppal,KSWC,Kustagi,,4500
Karnataka,Koppal,Kanimilli Nagaraju S/O Tatabai,"Sy No. 140, Gundur Camp, Gangavithi Taluk",,150
Karnataka,Koppal,Kanimilli Srinivas Rao S/O Pattabhiramayya,"Sy No. 13, Karatagi Village, Gangavathi Taluk",,544
Karnataka,Koppal,Kantipudi Srinivas S/O Ramachandra Rao,"Plot No.287-4/1/3/2A, Marlanahalli Village, Gangavthi Taluk",,804
Karnataka,Koppal,Kanumalli Prasad S/O Venkatnarayana,"Sy No.125/14/BHoskera GP, Hoskera Camp, Gangavathi Taluk",,234
Karnataka,Koppal,Karaturi Subba Rao & Karaturi Narasimhamurthy,"GP No. 86/05-06, Chellur Camp, Gangavathi Taluk",,249
Karnataka,Koppal,Karnataka Fruit Company,BACKSIDE MANJUNATH LODGE.KOPPALA,Khasim Sab,16
Karnataka,Koppal,Karri Venkatalaxmi W/O Venkat Reddy,"Sy No. 158/1E, Hosakera Village, Gangavathi Taluk",,605
Karnataka,Koppal,Khaja Hussain,"Plot No 23, Ward No 1, Chikkajanthakal Village, Gangavathi",,106
Karnataka,Koppal,Kodavali Srirammurthy,"Sriramnagar, Gangavathi",,137
Karnataka,Koppal,Kode Sriram Murthy S/O Maraiah,"Sy No.56/K, Hulkihal Camp, Hulkihal, Gangavathi Tq.",,397
Karnataka,Koppal,Kori Lingappa S/O Siddaramappa,"Sy No. 15/3, Arhal Village, Gangavathi Taluk",,407
Karnataka,Koppal,Koripally Subbarao,"Sy No 152/1, Basavanna Camp, Gangavathi, Koppal",,1614
Karnataka,Koppal,Kosetty Adinarayana,"Sy No 104/C/2/3,Tondihal Village, Gangavathi, Koppal",,133
Karnataka,Koppal,Kosetty Adinarayana,"Sy No 104/C/2/3,Tondihal Village, Gangavathi, Koppal",,133
Karnataka,Koppal,Kovuri Subbareddy S/O Venkateswar Reddy,"G P Np. 73, Bapireddi Camp Village, Gangavathi Taluk",,351
Karnataka,Koppal,Kovuri Venkateshwar Reddy,"Sy No 3, BapiReddy Camp, Gangavathi, Koppal",,103
Karnataka,Koppal,Kovuri Venkateshwar Reddy,"Sy No 3, BapiReddy Camp, Gangavathi, Koppal",,103
Karnataka,Koppal,Krishnadevarajalu S/O Bullabai,Hanchinal Village Sindhanur,,297
Karnataka,Koppal,Kudupudi Suribabu S/O Venkanna,"Plot No.61&62, KG Camp, Gundur Post",,377
Karnataka,Koppal,Kurubar Eashappa S/O Hosagerappa,"Plot No 225, Chellur Village, Chellur PO, Gangavathi, Koppal",,217
Karnataka,Koppal,Kurupudi Ramalakshmi W/O Subramanyeswararao,"Sy No 70/2, Plot No 34, Renuka Colony,Sriramnagar Village, Gangavathi Taluk",,924
Karnataka,Koppal,L Satyanarayana & L V Ramanamma,"Plot No 25 & 26, Gundur Kama Gundappa Camp, Gundur GP, Gangavathi Taluk",,612
Karnataka,Koppal,Lakshminarayana S/O Veeraraghavulu & Veeraraghavulu S/O Venkatramaiah,"Sl No 9, Plot No 19, Basavanadurga, Gangavathi Taluk",,388
Karnataka,Koppal,Laxmana Nadiger S/O Yamanappa,"Sy No 13, Tondihal, Gangavathi Taluk",,173
Karnataka,Koppal,M A K Fruit Company,BANNIGIDA CAMP.GANGAVATHI,M Shabbir,50
Karnataka,Koppal,M Basavaraj S/O Chenchaiah M,"G P No 167, Gundur Village, Gangavathi Taluk",,105
Karnataka,Koppal,M Dharani,"Sy No 640/15, Shivapur Taluq, Koppal",,179
Karnataka,Koppal,M Krishnamurthy,"Sy No. 25/G, Pannapur Village, Gangavathi",,604
Karnataka,Koppal,M R Venkayyashetty S/O Laxminarayan Shetty,"Plot No. 13, APMC Market Yard, Manvi",,372
Karnataka,Koppal,M Rudragouda S/O Muddareddy,"Sy No. 370, Roundkunda Village, Sindhanur Taluk",,205
Karnataka,Koppal,M Satyanarayana S/O Narayana,"Sy.No.138/B, Sriramnagar, Gangavathi Taluk",,298
Karnataka,Koppal,M Selvaraj S/O Late Sooraiah,"Sy No. 107A, Manvi",,518
Karnataka,Koppal,M Shivaraj,"Marali Village, Gangavathi",,329
Karnataka,Koppal,M Veeraraju,"Plot No 24, Doctor Camp, Herur Gram Panchayat, Gangavathi",,290
Karnataka,Koppal,M.Srinivas Rao S/O Tatalthasi,"Bapireddy Camp, Gangavathi Tq.",,384
Karnataka,Koppal,M.Surya Rao,"Kotaih Camp, Gangavati Tq.,",,215
Karnataka,Koppal,MAHADEVAPPA S/O Huchhapa,"Plot No.221, Bennur Village, Gangavathi Taluk",,300
Karnataka,Koppal,MUNIRABAD,,B. R. Kolaji Gowda,1300
Karnataka,Koppal,Maddipati Krishna S/O Raju,"Sy No. 211/A/5/2,.Bevinal - Basavann Camp, Gangavathi Taluk",,285
Karnataka,Koppal,Mahesh Kori,"Budugumpa, Gangavathi",,239
Karnataka,Koppal,Mallappa Kumbar,"Sy No 1, Indaragi, Koppal",,196
Karnataka,Koppal,Mallidi Ammireddy S/O Satyareddy,"Plot No. 126/1, Hosakera Village, Gangavathi Taluk",,53
Karnataka,Koppal,Mallipudi Rayadu S/O Shri Subannagaru,"Sy. No. 182, Kuntoji Laxmi Camp Village Gangavathi Taluk",,131
Karnataka,Koppal,Manjunath Sugur S/O Linganna Sugur,Sy. No. 6 Budagumpa Village Gangavathi Taluk,,218
Karnataka,Koppal,Manjunatha Fruit Company,VIDYANAGAR.KUSTAGI,Yallappa R Bajantri,
Karnataka,Koppal,Manne Bullabai S/O Ramamurthy,Kalgudi Gangavathi Tq,,100
Karnataka,Koppal,Manne Nagathushanam S/O Satyanarayana,"Sy. No. 57/B, Jangamara, Kalagudi, Gangavathi Tq.",,285
Karnataka,Koppal,Manne Padmavathi W/O Manne Srinivasa Rao,"SY No 90/A, Hoskera Village, Gangavathi Taluk",,999
Karnataka,Koppal,Manne Ramakrishna & Smt Manne Suryakumari,"Sy No 3/C,BapiReddy Camp,Gangavathi",,549
Karnataka,Koppal,"Maruthi, Pranesh & Hanumanthaiah","Plot No. 139 & 140, Kartagi Village, Gangavati Taluk",,298
Karnataka,Koppal,Meenakshamma Malipatil W/O Sharenegowda,"Panchayat No. 122/1, Thimmapur Village, Gangavthi Taluk",,76
Karnataka,Koppal,Meka Kasaiah,"Sy No. 130/8, Hiredankanakal Camp, Gangavthi Taluk",,230
Karnataka,Koppal,Meka Laxmi W/O Venkateshwar Rao,"Sy.No. 376 B, Karatagi,Kanakagiri, Navali Road,Karatagi Gangavati Taluk",,6942
Karnataka,Koppal,Meka Venkatnaryana,"PLot No. 482, Basaptna Village, Gangavathi Taluk",,421
Karnataka,Koppal,N Basavaraj S/O Amarappa,"Sy.No.54/A1 & 54/A2, Doctor Camp, Gangavathi Taluk",,1951
Karnataka,Koppal,N Narasimhamurthy,"Sy.No.122-1/A, Kotaiah Camp, Gangavathi Taluk",,145
